ANNEX,GEAR,EffortManagementRegime,GEAR_NAME,ANNEX_ID
Fully documented fishery - Cod recovery zone,GT1,Long term plan for cod stocks,Static,FDFIIA
Fully documented fishery - Cod recovery zone,LL1,Long term plan for cod stocks,Static,FDFIIA
Fully documented fishery - Cod recovery zone,POTS,Long term plan for cod stocks,Static,FDFIIA
Fully documented fishery - Cod recovery zone,NONE,Long term plan for cod stocks,Unspecified,FDFIIA
Fully documented fishery - western Channel,3A,Multi-annual plan of Western Channel sole stock,Beam trawl,FDFIIC
Fully documented fishery - western Channel,BEAM,Multi-annual plan of Western Channel sole stock,Beam trawl,FDFIIC
Fully documented fishery - western Channel,DREDGE,Multi-annual plan of Western Channel sole stock,Dredge,FDFIIC
Cod recovery zone,BEAM,Long term plan for cod stocks,Beam trawl,IIA
Cod recovery zone,BT1,Long term plan for cod stocks,Beam trawl,IIA
Cod recovery zone,BT2,Long term plan for cod stocks,Beam trawl,IIA
Cod recovery zone,TR1,Long term plan for cod stocks,Bottom trawls and seines,IIA
Cod recovery zone,TR2,Long term plan for cod stocks,Bottom trawls and seines,IIA
Cod recovery zone,TR3,Long term plan for cod stocks,Bottom trawls and seines,IIA
Cod recovery zone,DEM_SEINE,Long term plan for cod stocks,Demersal seine,IIA
Cod recovery zone,DREDGE,Long term plan for cod stocks,Dredge,IIA
Cod recovery zone,PEL_SEINE,Long term plan for cod stocks,Midwater,IIA
Cod recovery zone,PEL_TRAWL,Long term plan for cod stocks,Midwater,IIA
Cod recovery zone,OTTER,Long term plan for cod stocks,Otter trawl,IIA
Cod recovery zone,GN1,Long term plan for cod stocks,Static,IIA
Cod recovery zone,GT1,Long term plan for cod stocks,Static,IIA
Cod recovery zone,LL1,Long term plan for cod stocks,Static,IIA
Cod recovery zone,POTS,Long term plan for cod stocks,Static,IIA
Cod recovery zone,NONE,Long term plan for cod stocks,Unspecified,IIA
Southern hake and nephrops,BEAM,Recovery plan for Southern Hake and Norway lobster stocks,Beam trawl,IIB
Southern hake and nephrops,DEM_SEINE,Recovery plan for Southern Hake and Norway lobster stocks,Demersal seine,IIB
Southern hake and nephrops,DREDGE,Recovery plan for Southern Hake and Norway lobster stocks,Dredge,IIB
Southern hake and nephrops,PEL_SEINE,Recovery plan for Southern Hake and Norway lobster stocks,Midwater,IIB
Southern hake and nephrops,PEL_TRAWL,Recovery plan for Southern Hake and Norway lobster stocks,Midwater,IIB
Southern hake and nephrops,OTTER,Recovery plan for Southern Hake and Norway lobster stocks,Otter trawl,IIB
Southern hake and nephrops,3B,Recovery plan for Southern Hake and Norway lobster stocks,Static,IIB
Southern hake and nephrops,3C,Recovery plan for Southern Hake and Norway lobster stocks,Static,IIB
Southern hake and nephrops,3T,Recovery plan for Southern Hake and Norway lobster stocks,Static,IIB
Southern hake and nephrops,GILL,Recovery plan for Southern Hake and Norway lobster stocks,Static,IIB
Southern hake and nephrops,POTS,Recovery plan for Southern Hake and Norway lobster stocks,Static,IIB
Southern hake and nephrops,3A,Recovery plan for Southern Hake and Norway lobster stocks,"Trawl, Danish seine or similar gears",IIB
Southern hake and nephrops,NONE,Recovery plan for Southern Hake and Norway lobster stocks,Unspecified,IIB
Sole western Channel,3A,Multi-annual plan of Western Channel sole stock,Beam trawl,IIC
Sole western Channel,BEAM,Multi-annual plan of Western Channel sole stock,Beam trawl,IIC
Sole western Channel,DEM_SEINE,Multi-annual plan of Western Channel sole stock,Demersal seine,IIC
Sole western Channel,DREDGE,Multi-annual plan of Western Channel sole stock,Dredge,IIC
Sole western Channel,PEL_SEINE,Multi-annual plan of Western Channel sole stock,Midwater,IIC
Sole western Channel,PEL_TRAWL,Multi-annual plan of Western Channel sole stock,Midwater,IIC
Sole western Channel,OTTER,Multi-annual plan of Western Channel sole stock,Otter trawl,IIC
Sole western Channel,3B,Multi-annual plan of Western Channel sole stock,Static,IIC
Sole western Channel,GILL,Multi-annual plan of Western Channel sole stock,Static,IIC
Sole western Channel,LONGLINE,Multi-annual plan of Western Channel sole stock,Static,IIC
Sole western Channel,POTS,Multi-annual plan of Western Channel sole stock,Static,IIC
Sole western Channel,TRAMMEL,Multi-annual plan of Western Channel sole stock,Static,IIC
Sole western Channel,NONE,Multi-annual plan of Western Channel sole stock,Unspecified,IIC
Western waters,BEAM,R(EC) No 1954/2003 on the management of the fishing effort relating to certain Community fishing areas and resources,Beam trawl,WW
Western waters,DREDGE,R(EC) No 1954/2003 on the management of the fishing effort relating to certain Community fishing areas and resources,Dredge,WW
Western waters,PELAGIC TRAWLS,R(EC) No 1954/2003 on the management of the fishing effort relating to certain Community fishing areas and resources,Midwater,WW
Western waters,BOTTOM TRAWLS,R(EC) No 1954/2003 on the management of the fishing effort relating to certain Community fishing areas and resources,Otter trawls and Danish seine,WW
Western waters,GILL,R(EC) No 1954/2003 on the management of the fishing effort relating to certain Community fishing areas and resources,Static,WW
Western waters,LONGLINE,R(EC) No 1954/2003 on the management of the fishing effort relating to certain Community fishing areas and resources,Static,WW
Western waters,POTS,R(EC) No 1954/2003 on the management of the fishing effort relating to certain Community fishing areas and resources,Static,WW
Western waters,TRAMMEL,R(EC) No 1954/2003 on the management of the fishing effort relating to certain Community fishing areas and resources,Static,WW
Western waters,NONE,R(EC) No 1954/2003 on the management of the fishing effort relating to certain Community fishing areas and resources,Unspecified,WW
