SPECIES_NAME,COMMON_NAME,SPECIES_CODE,GUILD
Aphanopus carbo,Black scabbardfish,BSF,demersal
Mallotus villosus,Capelin,CAP,pelagic
Anarhichas minor,Spotted wolffish,CAS,benthic
Anarhichas spp,Wolffishes(=Catfishes) nei,CAT,benthic
Conger oceanicus,American conger,COA,NA
Brachyura,Marine crabs nei,CRA,crustacean
Centroscymnus coelolepis,Portuguese dogfish,CYO,elasmobranch
Squalidae,Dogfish sharks nei,DGX,elasmobranch
Zoarces viviparus,Eelpout,ELP,NA
Abramis spp,Freshwater breams nei,FBR,NA
Lota lota,Burbot,FBU,NA
Carassius carassius,Crucian carp,FCC,NA
Cyprinus carpio,Common carp,FCP,NA
Leuciscus idus,Orfe(=Ide),FID,NA
Pleuronectiformes,Flatfishes nei,FLX,benthic
Perca fluviatilis,European perch,FPE,NA
Esox lucius,Northern pike,FPI,NA
Sander lucioperca,Pike-perch,FPP,NA
Osteichthyes,Freshwater fishes nei,FRF,NA
Rutilus rutilus,Roach,FRO,NA
Tinca tinca,Tench,FTE,NA
Belone belone,Garfish,GAR,NA
Phycis blennoides,Greater forkbeard,GFB,demersal
Reinhardtius hippoglossoides,Greenland halibut,GHL,benthic
Gadus ogac,Greenland cod,GRC,demersal
Osteichthyes,Groundfishes nei,GRO,demersal
Centrophorus squamosus,Leafscale gulper shark,GUQ,elasmobranch
Chaceon affinis,Deep-sea red crab,KEF,crustacean
Bothidae,Lefteye flounders nei,LEF,benthic
Cyclopterus lumpus,Lumpfish(=Lumpsucker),LUM,NA
Scomber colias,Atlantic chub mackerel,VMA,pelagic
Lophius piscatorius,Angler(=Monk),MON,benthic
Mytilidae,Sea mussels nei,MSX,NA
Mugilidae,Mullets nei,MUL,NA
Mullus spp,Surmullets(=Red mullets) nei,MUX,NA
Trisopterus esmarkii,Norway pout,NOP,pelagic
Hoplostethus atlanticus,Orange roughy,ORY,demersal
Osteichthyes,Pelagic fishes nei,PEL,pelagic
Hippoglossoides platessoides,Amer. plaice(=Long rough dab),PLA,benthic
Coregonus lavaretus,European whitefish,PLN,NA
Pandalus borealis,Northern prawn,PRA,crustacean
Coryphaenoides rupestris,Roundnose grenadier,RNG,demersal
Salmo salar,Atlantic salmon,SAL,pelagic
Ammodytes spp,Sandeels(=Sandlances) nei,SAN,demersal
Pagellus bogaraveo,Blackspot(=red) seabream,SBR,demersal
Argopecten irradians,Atlantic bay scallop,SCB,NA
Dalatias licha,Kitefin shark,SCK,elasmobranch
Lepidopus caudatus,Silver scabbardfish,SFS,NA
"Alosa alosa, A. fallax",Allis and twaite shads,SHD,NA
Sardinella spp,Sardinellas nei,SIX,NA
Osmerus eperlanus,European smelt,SME,pelagic
Illex illecebrosus,Northern shortfin squid,SQI,NA
Loligo vulgaris,European squid,SQR,NA
"Loliginidae, Ommastrephidae",Various squids nei,SQU,NA
Prionotus spp,Atlantic searobins,SRA,NA
Rajiformes,"Rays, stingrays, mantas nei",SRX,elasmobranch
Morone saxatilis,Striped bass,STB,NA
Salmo spp,Trouts nei,TRO,NA
Salmo trutta,Sea trout,TRS,NA
Micromesistius poutassou,Blue whiting(=Poutassou),WHB,pelagic
Astacus astacus,Noble crayfish,AAS,elasmobranch
Blicca bjoerkna,White bream,ABK,NA
Blenniidae,Combtooth blennies,BLE,NA
Thunnus atlanticus,Blackfin tuna,BLF,NA
Caproidae,Boarfishes nei,BOR,NA
Prionace glauca,Blue shark,BSH,elasmobranch
Cephalopoda,Cephalopods nei,CEP,NA
Arctica islandica,Ocean quahog,CLQ,NA
Chimaera monstrosa,Rabbit fish,CMO,NA
Palaemon serratus,Common prawn,CPR,NA
Crangonidae,Crangonid shrimps nei,CRN,crustacean
"Sepiidae, Sepiolidae","Cuttlefish, bobtail squids nei",CTL,NA
Lycodes spp,Eelpouts,ELZ,NA
Abramis brama,Freshwater bream,FBM,NA
Galeorhinus galeus,Tope shark,GAG,elasmobranch
Gobius spp,Atlantic gobies nei,GOB,NA
Gobiidae,Gobies nei,GPA,NA
Coregonus oxyrinchus,Houting,HOU,NA
Paralithodes spp,King crabs,KCS,crustacean
Lithodes maja,Stone king crab,KCT,crustacean
Meganyctiphanes norvegica,Norwegian krill,NKR,NA
Littorina spp,Periwinkles nei,PER,NA
Brama brama,Atlantic pomfret,POA,NA
Aequipecten opercularis,Queen scallop,QSC,NA
Sebastes mentella,Beaked redfish,REB,NA
Sebastes marinus,Golden redfish,REG,NA
Scorpaenidae,Scorpionfishes nei,SCO,NA
Maja squinado,Spinous spider crab,SCR,crustacean
Myoxocephalus spp,Sculpins,SCU,NA
Pectinidae,Scallops nei,SCX,NA
Gasterosteus spp,Sticklebacks,SKB,NA
Chaenocephalus aceratus,Blackfin icefish,SSI,NA
Asteroidea,Starfishes nei,STF,NA
Asterias rubens,Red starfish,STH,NA
Chamelea gallina,Striped venus,SVE,NA
Xiphias gladius,Swordfish,SWO,NA
Microchirus spp,Thickback soles nei,THS,NA
Oncorhynchus mykiss,Rainbow trout,TRR,NA
Alosa fallax,Twaite shad,TSD,NA
Spisula solida,Solid surf clam,ULO,NA
Echinus esculentus,European edible sea urchin,URS,NA
Echinoidea,"Sea urchins, etc. nei",URX,NA
Labrus bergylta,Ballan wrasse,USB,NA
Vasum capitellum,Spiny vase,VSP,NA
Busycon spp,Whelks,WHX,NA
Ammodytes tobianus,Small sandeel,ABZ,NA
Gymnocephalus cernuus,Ruffe,ACC,NA
Squatina squatina,Angelshark,AGN,elasmobranch
Alburnus alburnus,Bleak,ALR,NA
Acipenser sturio,Sturgeon,APU,NA
Centroscyllium fabricii,Black dogfish,CFB,elasmobranch
Carassius auratus,Goldfish,CGO,NA
Centroscymnus crepidater,Longnose velvet dogfish,CYP,elasmobranch
Erosa erosa,Pitted stonefish,ERO,NA
Cyprinidae,Cyprinids nei,FCY,NA
Somniosus microcephalus,Greenland shark,GSK,elasmobranch
Gasterosteus aculeatus,Three-spined stickleback,GTA,NA
Urophycis tenuis,White hake,HKW,NA
Lampetra fluviatilis,River lamprey,LAR,NA
Petromyzontidae,Lampreys nei,LAS,NA
Petromyzon marinus,Sea lamprey,LAU,NA
Neogobius melanostomus,Round goby,NBU,NA
Rajidae,Rays and skates nei,RAJ,elasmobranch
Macrourus berglax,Roughhead grenadier,RHG,demersal
Etmopterus spp,Lanternsharks nei,SHL,elasmobranch
Scardinius erythrophthalmus,Rudd,SRE,NA
Rhodophyceae,Red seaweeds,SWR,NA
Vimba vimba,Vimba bream,VIV,NA
Acanthocardia echinata,European prickly cockle,AKJ,NA
Thunnus alalunga,Albacore,ALB,NA
Beryx spp,Alfonsinos nei,ALF,demersal
Aluterus monoceros,Unicorn leatherjacket filefish,ALM,NA
Alopias vulpinus,Thresher,ALV,NA
Seriola dumerili,Greater amberjack,AMB,NA
Lophius budegassa,Blackbellied angler,ANK,NA
Diplodus annularis,Annular seabream,ANN,NA
Apristurus spp,Deep-water catsharks,API,elasmobranch
Aristeidae,Aristeid shrimps nei,ARI,crustacean
Alosa alosa,Allis shad,ASD,NA
Squatinidae,"Angelsharks, sand devils nei",ASK,elasmobranch
Atherina boyeri,Big-scale sand smelt,ATB,NA
Atherina presbyter,Sand smelt,ATP,NA
Sphyraena spp,Barracudas nei,BAR,NA
Serranus spp,Combers nei,BAS,NA
Scorpaena porcus,Black scorpionfish,BBS,NA
Belonidae,"Needlefishes, etc. nei",BEN,NA
Thunnus obesus,Bigeye tuna,BET,NA
Pomadasys incisus,Bastard grunt,BGR,NA
Halobatrachus didactylus,Lusitanian toadfish,BHD,NA
Bathyraja spp,Bathyraja rays nei,BHY,elasmobranch
Istiophoridae,"Marlins,sailfishes,etc. nei",BIL,NA
Stromateus fiatola,Blue butterfish,BLB,NA
Auxis rochei,Bullet tuna,BLT,NA
Pomatomus saltatrix,Bluefish,BLU,NA
Capros aper,Boarfish,BOC,pelagic
Boops boops,Bogue,BOG,NA
Sarda sarda,Atlantic bonito,BON,NA
Bolinus brandaris,Purple dye murex,BOY,NA
Spicara maena,Blotched picarel,BPI,NA
Helicolenus dactylopterus,Blackbelly rosefish,BRF,NA
Gonostomatidae,Bristlemouths,BRI,NA
Carcharhinus brachyurus,Copper shark,BRO,elasmobranch
Borostomias antarcticus,Snaggletooth,BRT,NA
Berycidae,"Alfonsinos, etc. nei",BRX,NA
Pagrus caeruleostictus,Bluespotted seabream,BSC,NA
Dicentrarchus spp,Seabasses nei,BSE,NA
Serranidae,"Groupers, seabasses nei",BSX,NA
Alopias superciliosus,Bigeye thresher,BTH,NA
Makaira nigricans,Blue marlin,BUM,NA
Stromateidae,"Butterfishes, pomfrets nei",BUX,NA
Beryx decadactylus,Alfonsino,BXD,NA
Beryx splendens,Splendid alfonsino,BYS,NA
Sarda spp,Bonitos nei,BZX,NA
Cepola macrophthalma,Red bandfish,CBC,NA
Sciaena umbra,Brown meagre,CBM,NA
Serranus cabrilla,Comber,CBR,NA
Carcharias taurus,Sand tiger shark,CCT,elasmobranch
Sciaenidae,"Croakers, drums nei",CDX,NA
Centrolophidae,"Ruffs, barrelfishes nei",CEN,NA
Centrolophus niger,Rudderfish,CEO,NA
Dicologlossa cuneata,Wedge sole,CET,NA
Carangidae,Carangids nei,CGX,NA
Citharus linguatula,Spotted flounder,CIL,NA
Pseudotolithus senegallus,Law croaker,CKL,NA
Mya arenaria,Sand gaper,CLS,NA
Veneridae,Venus clams nei,CLV,NA
Chromis chromis,Damselfish,CMK,NA
Umbrina cirrosa,Shi drum,COB,NA
Corallium spp,Precious corals nei,COR,NA
Coris julis,Rainbow wrasse,COU,NA
Congridae,"Conger eels, etc. nei",COX,NA
Carcinus maenas,Green crab,CRG,crustacean
Portunus spp,Portunus swimcrabs nei,CRS,crustacean
Palinurus spp,Palinurid spiny lobsters nei,CRW,crustacean
Diplodus vulgaris,Common two-banded seabream,CTB,NA
Ruditapes decussatus,Grooved carpet shell,CTG,NA
Venerupis pullastra,Pullet carpet shell,CTS,NA
Chelidonichthys lastoviza,Streaked gurnard,CTZ,NA
Trichiuridae,"Hairtails, scabbardfishes nei",CUT,NA
Holothuroidea,Sea cucumbers nei,CUX,NA
Caranx hippos,Crevalle jack,CVJ,NA
Deania calcea,Birdbeak dogfish,DCA,elasmobranch
Natantia,Natantian decapods nei,DCP,NA
Dentex dentex,Common dentex,DEC,NA
Dentex macrophthalmus,Large-eye dentex,DEL,NA
Dentex gibbosus,Pink dentex,DEP,NA
Dentex spp,Dentex nei,DEX,NA
Donax spp,Donax clams,DON,NA
Parapenaeus longirostris,Deep-water rose shrimp,DPS,crustacean
Dosinia exoleta,Mature dosinia,DSX,NA
Donax trunculus,Truncate donax,DXL,NA
Dactylopterus volitans,Flying gurnard,DYL,NA
Myliobatidae,Eagle rays nei,EAG,elasmobranch
Cheilopogon heterurus,,ECE,NA
Echinodermata,Echinoderms,ECH,NA
Epinephelus caninus,Dogtooth grouper,EFJ,NA
Sepia elegans,Elegant cuttlefish,EJE,NA
Anguilla spp,River eels nei,ELX,NA
Eledone cirrhosa,Horned octopus,EOI,NA
Epigonus telescopus,Black cardinal fish,EPI,NA
Ensis ensis,Pod razor shell,EQE,NA
Ensis siliqua,Sword razor shell,EQI,NA
Etmopterus spinax,Velvet belly,ETX,NA
Scorpaena elongata,Slender rockfish,EZS,NA
Carcharhinus falciformis,Silky shark,FAL,elasmobranch
Pasiphaea sivado,White glass shrimp,FAV,crustacean
Aphia minuta,Transparent goby,FIM,NA
Exocoetidae,Flyingfishes nei,FLY,NA
Phycis phycis,Forkbeard,FOR,NA
Phycis spp,Forkbeards nei,FOX,NA
Auxis thazard,Frigate tuna,FRI,NA
"Auxis thazard, A. rochei",Frigate and bullet tunas,FRZ,NA
Fucaceae,Wracks nei,FUA,NA
Galeus murinus,Mouse catshark,GAM,elasmobranch
Gastropoda,Gastropods nei,GAS,NA
Galeus spp,Crest-tail catsharks nei,GAU,elasmobranch
Gobiusculus flavescens,Two-spotted goby,GBF,NA
Gobius niger,Black goby,GBN,NA
Plectorhinchus mediterraneus,Rubberlip grunt,GBR,NA
Gadiculus argenteus,Silvery pout,GDG,NA
Gelidium spp,Gelidium seaweeds,GEL,NA
Gempylidae,"Snake mackerels, escolars nei",GEP,NA
Chaceon spp,Chaceon geryons nei,GER,NA
Geryonidae,"Deep-sea crabs, geryons nei",GEY,crustacean
Gaidropsarus mediterraneus,Shore rockling,GGD,NA
Gaidropsarus vulgaris,Three-bearded rockling,GGU,NA
Gaidropsarus biscayensis,Mediterranean bigeye rockling,GGY,NA
Glycymeris glycymeris,Common European bittersweet,GKL,NA
Lepas spp,Goose barnacles nei,GOO,NA
Epinephelus marginatus,Dusky grouper,GPD,NA
Epinephelus aeneus,White grouper,GPW,NA
Epinephelus spp,Groupers nei,GPX,NA
Haemulidae (=Pomadasyidae),"Grunts, sweetlips nei",GRX,NA
Buglossidium luteum,Solenette,GSM,NA
Chelidonichthys spp,Indo-Pacific gurnards,GUI,NA
Chelidonichthys obscurus,Longfin gurnard,GUM,NA
Trigla lyra,Piper gurnard,GUN,NA
Centrophorus granulosus,Gulper shark,GUP,elasmobranch
Trigla spp,Gurnards nei,GUY,NA
Hirundichthys rondeletii,Black wing flyingfish,HDR,NA
Haliotis tuberculata,Tuberculate abalone,HLT,NA
Himanthalia elongata,Sea thong,HLZ,NA
Trachurus mediterraneus,Mediterranean horse mackerel,HMM,NA
Caranx rhonchus,False scad,HMY,NA
Chimaeriformes,"Chimaeras, etc. nei",HOL,NA
Hoplostethus mediterraneus,Mediterranean slimehead,HPR,NA
Heptranchias perlo,Sharpnose sevengill shark,HXT,elasmobranch
Sepia orbignyana,Pink cuttlefish,IAR,NA
Sepia spp,Cuttlefishes nei,IAX,NA
Liocarcinus depurator,Blue-leg swimcrab,IOD,crustacean
Chlamys islandica,Iceland scallop,ISC,NA
Sepietta oweniana,Common bobtail squid,ITW,NA
Trachurus picturatus,Blue jack mackerel,JAA,pelagic
Raja radula,Rough ray,JAR,elasmobranch
Lampadena anomala,Anomalous lanternfish,JBA,NA
Centrolabrus trutta,Emerald wrasse,JCN,NA
Stichopus regalis,Royal cucumber,JCR,NA
Maja spp,Maja spider crabs nei,JCX,crustacean
Dasyatis pastinaca,Common stingray,JDP,elasmobranch
Raja leopardus,Leopard skate,JFV,elasmobranch
Zenopsis conchifer,Silvery John dory,JOS,NA
Raja asterias,Mediterranean starry ray,JRS,elasmobranch
Jujubinus exasperatus,Exasperating jujubine,JUX,NA
Lithodes spp,King crabs nei,KCZ,crustacean
Callista chione,Smooth callista,KLK,NA
Cerastoderma glaucum,Olive green cockle,KTG,NA
Acanthocardia tuberculata,Tuberculate cockle,KTT,NA
Kyphosidae,Sea chubs nei,KYX,NA
Lampris guttatus,Opah,LAG,NA
Laminariaceae,Kelps nei,LAZ,NA
Homarus spp,Homarus lobsters nei,LBS,crustacean
Lepidorhombus boscii,Four-spot megrim,LDB,NA
Lampadena speculigera,,LDS,NA
Lepidotrigla cavillone,Large-scaled gurnard,LDV,NA
Lepidocybium flavobrunneum,Escolar,LEC,NA
Lichia amia,Leerfish,LEE,NA
Trichiurus lepturus,Largehead hairtail,LHT,NA
Necora puber,Velvet swimcrab,LIO,crustacean
Lithothamnion spp,Lithothamnion,LIT,NA
Molva spp,Lings nei,LNZ,NA
Scyllaridae,Slipper lobsters nei,LOS,crustacean
Reptantia,Lobsters nei,LOX,crustacean
Lepidion eques,North Atlantic codling,LPS,NA
Patella spp,Limpets nei,LPZ,NA
Liocarcinus arcuatus,Arched swimming crab,LQA,crustacean
Euthynnus alletteratus,Little tunny(=Atl.black skipj),LTA,NA
Callionymus lyra,Dragonet,LYY,NA
Isurus spp,Mako sharks,MAK,elasmobranch
Mactridae,Mactra surf clams nei,MAT,NA
Scombridae,Mackerels nei,MAX,NA
Scomber spp,Scomber mackerels nei,MAZ,NA
Liza aurata,Golden grey mullet,MGA,NA
Argyrosomus regius,Meagre,MGR,NA
Mugil spp,,MGS,NA
Microchirus azevia,,MIA,NA
Chelon labrosus,Thicklip grey mullet,MLR,NA
Muraena helena,Mediterranean moray,MMH,NA
Melanostomias tentaculatus,,MNE,NA
Moridae,Moras nei,MOR,NA
Mola mola,Ocean sunfish,MOX,NA
Macropipus tuberculatus,Knobby swimcrab,MQL,crustacean
Arnoglossus laterna,Mediterranean scaldfish,MSF,NA
Lamnidae,"Mackerel sharks,porbeagles nei",MSK,elasmobranch
Mytilus galloprovincialis,Mediterranean mussel,MSM,NA
Melanostigma atlanticum,Atlantic soft pout,MTC,NA
Squilla mantis,Spottail mantis squillid,MTS,NA
Murex spp,Murex,MUE,NA
Mugil cephalus,Flathead grey mullet,MUF,NA
Muraenidae,Morays nei,MUI,NA
Mullidae,"Goatfishes, red mullets nei",MUM,NA
Mullus barbatus,Red mullet,MUT,NA
Myliobatis aquila,Common eagle ray,MYL,elasmobranch
Anemonia sulcata,Snakelocks anemone,NOW,NA
Anomura,Anomuran decapods nei,NUQ,NA
Octopus vulgaris,Common octopus,OCC,NA
Eledone spp,Horned and musky octopuses,OCM,NA
Octopodidae,"Octopuses, etc. nei",OCT,NA
Porphyra linearis,Ribboned nori,OFN,NA
Apogon imberbis,Cardinal fish,OGT,NA
Ruvettus pretiosus,Oilfish,OIL,NA
Ommastrephes spp,Flying squids nei,OMM,NA
Ommastrephidae,Ommastrephidae squids nei,OMZ,NA
Alloteuthis subulata,European common squid,OUL,NA
Alloteuthis media,Midsize squid,OUM,NA
Alloteuthis spp,Alloteuthis squids nei,OUW,NA
Oxynotus paradoxus,Sailfin roughshark,OXN,elasmobranch
Crassostrea spp,Cupped oysters nei,OYC,NA
Crassostrea gigas,Pacific cupped oyster,OYG,NA
Pagellus erythrinus,Common pandora,PAC,NA
Palaemonidae,Palaemonid shrimps nei,PAL,crustacean
Pandalus spp,Pandalus shrimps nei,PAN,crustacean
Pagellus spp,Pandoras nei,PAX,NA
Pollicipes pollicipes,Barnacle,PCB,NA
Pandalidae,Pandalid shrimps nei,PDZ,crustacean
Penaeus spp,Penaeus shrimps nei,PEN,crustacean
Penaeidae,Penaeid shrimps nei,PEZ,crustacean
Spicara spp,Picarels nei,PIC,NA
Pleuronectidae,Righteye flounders nei,PLZ,NA
Palaemon elegans,Rockpool prawn,PNQ,NA
Penaeus vannamei,Whiteleg shrimp,PNV,crustacean
Trisopterus minutus,Poor cod,POD,NA
Pontinus kuhlii,Offshore rockfish,POI,NA
Trachinotus spp,Pompanos nei,POX,NA
Percoidei,Percoids nei,PRC,NA
Priacanthidae,"Bigeyes,glasseyes,bulleyes nei",PRI,NA
Tetraodontidae,Puffers nei,PUX,NA
Palaemon spp,Palaemon shrimps nei,QPX,crustacean
Patella vulgata,Limpet,QTV,NA
Squalus blainville,Longnose spurdog,QUB,NA
Solen marginatus,European razor clam,RAE,NA
Hydrolagus colliei,Spotted ratfish,RAT,NA
Solen spp,Solen razor clams nei,RAZ,NA
Mora moro,Common mora,RIB,NA
Raja alba,White skate,RJA,elasmobranch
Raja fullonica,Shagreen ray,RJF,elasmobranch
Raja hyperborea,Arctic skate,RJG,elasmobranch
Raja lintea,Sailray,RJK,elasmobranch
Raja oxyrinchus,Longnosed skate,RJO,elasmobranch
Raja undulata,Undulate ray,RJU,elasmobranch
Mobula mobular,Devil fish,RMM,NA
Arnoglossus thori,Thor's scaldfish,RNH,NA
Gaidropsarus spp,Rocklings nei,ROL,NA
Pagrus pagrus,Red porgy,RPG,NA
Scorpaena scrofa,Red scorpionfish,RSE,NA
Carcharhinidae,Requiem sharks nei,RSK,elasmobranch
Istiophorus albicans,Atlantic sailfish,SAI,demersal
Scomberesox saurus,Atlantic saury,SAU,NA
Scomberesocidae,Sauries nei,SAX,NA
Pagellus acarne,Axillary seabream,SBA,NA
Stomias boa,Boa dragonfish,SBB,NA
Sparus aurata,Gilthead seabream,SBG,NA
Hexanchus griseus,Bluntnose sixgill shark,SBL,elasmobranch
Scopelogadus beanii,,SBN,NA
Pagrus spp,Pargo breams nei,SBP,NA
Oblada melanura,Saddled seabream,SBS,NA
Diplodus cervinus,Zebra seabream,SBZ,NA
Scophthalmidae,Turbots nei,SCF,NA
Scorpaena spp,"Scorpionfishes, rockfishes nei",SCS,NA
Scyllarus arctus,Lesser slipper lobster,SCY,crustacean
Deania hystricosa,Rough longnose dogfish,SDH,elasmobranch
Mustelus asterias,Starry smooth-hound,SDS,elasmobranch
Deania profundorum,Arrowhead dogfish,SDU,elasmobranch
Echinorhinus brucus,Bramble shark,SHB,elasmobranch
Galeus melastomus,Blackmouth catshark,SHO,elasmobranch
Galeus melastomus,Blackmouth catshark,SHO,elasmobranch
Squaliformes,"Dogfish sharks, etc. nei",SHX,elasmobranch
Atherinidae,Silversides(=Sand smelts) nei,SIL,NA
Katsuwonus pelamis,Skipjack tuna,SKJ,NA
Elasmobranchii,"Sharks, rays, skates, etc. nei",SKX,elasmobranch
Molva macrophthalma,Spanish ling,SLI,NA
Sarpa salpa,Salema,SLM,NA
Palinurus elephas,Common spiny lobster,SLO,crustacean
Salmonoidei,Salmonoids nei,SLX,NA
Isurus oxyrinchus,Shortfin mako,SMA,elasmobranch
Lutjanus spp,Snappers nei,SNA,NA
Scorpaena notata,Small red scorpionfish,SNQ,NA
Macroramphosus scolopax,Longspine snipefish,SNS,NA
Solenidae,"Razor clams, knife clams nei",SOI,NA
Solea spp,,SOO,NA
Somniosus rostratus,Little sleeper shark,SOR,elasmobranch
Soleidae,Soles nei,SOX,benthic
Sphyrna lewini,Scalloped hammerhead,SPL,elasmobranch
Sphyrna spp,Hammerhead sharks nei,SPN,elasmobranch
Dicentrarchus punctatus,Spotted seabass,SPU,NA
Salpidae,Salps,SPX,NA
Sphyrna zygaena,Smooth hammerhead,SPZ,elasmobranch
Todarodes sagittatus,European flying squid,SQE,NA
Illex coindetii,Broadtail shortfin squid,SQM,NA
Squillidae,Squillids nei,SQY,NA
Diplodus spp,Sargo breams nei,SRG,NA
Serranus hepatus,Brown comber,SRJ,NA
Serranus scriba,Painted comber,SRK,NA
Raja georgiana,Antarctic starry skate,SRR,elasmobranch
Lithognathus mormyrus,Sand steenbras,SSB,NA
Ascidiacea,Sea squirts nei,SSX,NA
Dasyatidae,"Stingrays, butterfly rays nei",STT,elasmobranch
Lithognathus spp,Steenbrasses nei,STW,NA
Diplodus sargus,White seabream,SWA,NA
Phaeophyceae,Brown seaweeds,SWB,NA
Portunidae,"Swimming crabs, etc. nei",SWM,crustacean
Algae,Seaweeds nei,SWX,NA
